,NEIGHBORHOOD,ENCODED_VALUE
29847,WAKEFIELD,229
29848,WAKEFIELD,229
29849,WAKEFIELD,229
29850,WAKEFIELD,229
29852,WAKEFIELD,229
29855,WAKEFIELD,229
29856,WAKEFIELD,229
29857,WAKEFIELD,229
29859,WAKEFIELD,229
29861,WAKEFIELD,229
29863,WAKEFIELD,229
29865,WAKEFIELD,229
29867,WAKEFIELD,229
29870,WAKEFIELD,229
29871,WAKEFIELD,229
29872,WAKEFIELD,229
29873,WAKEFIELD,229
29874,WAKEFIELD,229
29875,WAKEFIELD,229
29876,WAKEFIELD,229
29881,WAKEFIELD,229
29882,WAKEFIELD,229
29883,WAKEFIELD,229
29884,WAKEFIELD,229
29885,WAKEFIELD,229
29886,WAKEFIELD,229
29887,WAKEFIELD,229
29889,WAKEFIELD,229
29891,WAKEFIELD,229
29893,WAKEFIELD,229
29896,WAKEFIELD,229
29898,WAKEFIELD,229
29902,WAKEFIELD,229
29907,WAKEFIELD,229
29910,WAKEFIELD,229
29911,WAKEFIELD,229
29913,WAKEFIELD,229
29915,WAKEFIELD,229
29921,WAKEFIELD,229
29922,WAKEFIELD,229
29926,WAKEFIELD,229
29928,WAKEFIELD,229
29929,WAKEFIELD,229
29933,WAKEFIELD,229
29934,WAKEFIELD,229
29936,WAKEFIELD,229
29937,WAKEFIELD,229
29939,WAKEFIELD,229
29940,WAKEFIELD,229
29941,WAKEFIELD,229
29943,WAKEFIELD,229
29944,WAKEFIELD,229
29946,WAKEFIELD,229
29949,WAKEFIELD,229
29950,WAKEFIELD,229
29953,WAKEFIELD,229
29954,WAKEFIELD,229
29955,WAKEFIELD,229
29956,WAKEFIELD,229
29957,WAKEFIELD,229
29958,WAKEFIELD,229
29962,WAKEFIELD,229
29965,WAKEFIELD,229
29966,WAKEFIELD,229
29967,WAKEFIELD,229
29969,WAKEFIELD,229
29970,WAKEFIELD,229
29972,WAKEFIELD,229
29973,WAKEFIELD,229
29974,WAKEFIELD,229
29975,WAKEFIELD,229
29976,WAKEFIELD,229
29978,WAKEFIELD,229
29980,WAKEFIELD,229
29981,WAKEFIELD,229
29982,WAKEFIELD,229
29984,WAKEFIELD,229
29988,WAKEFIELD,229
29989,WAKEFIELD,229
29990,WAKEFIELD,229
29991,WAKEFIELD,229
29994,WAKEFIELD,229
29995,WAKEFIELD,229
29996,WAKEFIELD,229
29997,WAKEFIELD,229
30000,WAKEFIELD,229
30005,WAKEFIELD,229
30006,WAKEFIELD,229
30007,WAKEFIELD,229
30010,WAKEFIELD,229
30012,WAKEFIELD,229
30013,WAKEFIELD,229
30017,WAKEFIELD,229
30018,WAKEFIELD,229
30019,WAKEFIELD,229
30021,WAKEFIELD,229
30022,WAKEFIELD,229
30023,WAKEFIELD,229
30024,WAKEFIELD,229
30026,WAKEFIELD,229
30027,WAKEFIELD,229
30029,WAKEFIELD,229
30031,WAKEFIELD,229
30034,WAKEFIELD,229
30051,WAKEFIELD,229
30053,WAKEFIELD,229
30055,WAKEFIELD,229
30056,WAKEFIELD,229
30057,WAKEFIELD,229
30059,WAKEFIELD,229
30061,WAKEFIELD,229
30062,WAKEFIELD,229
30063,WAKEFIELD,229
30064,WAKEFIELD,229
30067,WAKEFIELD,229
30068,WAKEFIELD,229
30071,WESTCHESTER,233
30072,WESTCHESTER,233
30073,WESTCHESTER,233
30076,WESTCHESTER,233
30077,WESTCHESTER,233
30078,WESTCHESTER,233
30079,WESTCHESTER,233
30081,WESTCHESTER,233
30089,WESTCHESTER,233
30090,WESTCHESTER,233
30093,WESTCHESTER,233
30094,WESTCHESTER,233
30096,WESTCHESTER,233
30097,WESTCHESTER,233
30098,WESTCHESTER,233
30099,WESTCHESTER,233
30100,WESTCHESTER,233
30101,WESTCHESTER,233
30102,WESTCHESTER,233
30103,WESTCHESTER,233
30104,WESTCHESTER,233
30107,WESTCHESTER,233
30108,WESTCHESTER,233
30109,WESTCHESTER,233
30110,WESTCHESTER,233
30111,WESTCHESTER,233
30112,WESTCHESTER,233
30117,WESTCHESTER,233
30120,WESTCHESTER,233
30122,WESTCHESTER,233
30124,WESTCHESTER,233
30125,WESTCHESTER,233
30126,WESTCHESTER,233
30127,WESTCHESTER,233
30128,WESTCHESTER,233
30129,WESTCHESTER,233
30130,WESTCHESTER,233
30131,WESTCHESTER,233
30133,WESTCHESTER,233
30134,WESTCHESTER,233
30135,WESTCHESTER,233
30136,WESTCHESTER,233
30139,WESTCHESTER,233
30141,WESTCHESTER,233
30142,WESTCHESTER,233
30143,WESTCHESTER,233
30145,WESTCHESTER,233
30147,WESTCHESTER,233
30148,WESTCHESTER,233
30149,WESTCHESTER,233
30150,WESTCHESTER,233
30154,WESTCHESTER,233
30155,WESTCHESTER,233
30158,WESTCHESTER,233
30159,WESTCHESTER,233
30161,WESTCHESTER,233
30163,WESTCHESTER,233
30164,WESTCHESTER,233
30165,WESTCHESTER,233
30168,WESTCHESTER,233
30170,WESTCHESTER,233
30171,WESTCHESTER,233
30172,WESTCHESTER,233
30174,WESTCHESTER,233
30176,WESTCHESTER,233
30180,WESTCHESTER,233
30182,WESTCHESTER,233
30183,WESTCHESTER,233
30184,WESTCHESTER,233
30188,WESTCHESTER,233
30189,WESTCHESTER,233
30190,WESTCHESTER,233
30191,WESTCHESTER,233
30192,WESTCHESTER,233
30200,WESTCHESTER,233
30202,WESTCHESTER,233
30203,WESTCHESTER,233
30204,WESTCHESTER,233
30205,WESTCHESTER,233
30206,WESTCHESTER,233
30212,WESTCHESTER,233
30213,WESTCHESTER,233
30216,WESTCHESTER,233
30219,WESTCHESTER,233
30220,WESTCHESTER,233
30221,WESTCHESTER,233
30223,WESTCHESTER,233
30224,WESTCHESTER,233
30225,WESTCHESTER,233
30226,WESTCHESTER,233
30227,WESTCHESTER,233
30228,WESTCHESTER,233
30231,WESTCHESTER,233
30232,WESTCHESTER,233
30235,WESTCHESTER,233
30236,WESTCHESTER,233
30238,WESTCHESTER,233
30239,WESTCHESTER,233
30240,WESTCHESTER,233
30241,WESTCHESTER,233
30242,WESTCHESTER,233
30243,WESTCHESTER,233
30244,WESTCHESTER,233
30249,WILLIAMSBRIDGE,236
30254,WILLIAMSBRIDGE,236
30256,WILLIAMSBRIDGE,236
30257,WILLIAMSBRIDGE,236
30258,WILLIAMSBRIDGE,236
30263,WILLIAMSBRIDGE,236
30264,WILLIAMSBRIDGE,236
30265,WILLIAMSBRIDGE,236
30266,WILLIAMSBRIDGE,236
30267,WILLIAMSBRIDGE,236
30272,WILLIAMSBRIDGE,236
30273,WILLIAMSBRIDGE,236
30274,WILLIAMSBRIDGE,236
30276,WILLIAMSBRIDGE,236
30277,WILLIAMSBRIDGE,236
30280,WILLIAMSBRIDGE,236
30282,WILLIAMSBRIDGE,236
30283,WILLIAMSBRIDGE,236
30284,WILLIAMSBRIDGE,236
30286,WILLIAMSBRIDGE,236
30287,WILLIAMSBRIDGE,236
30288,WILLIAMSBRIDGE,236
30290,WILLIAMSBRIDGE,236
30291,WILLIAMSBRIDGE,236
30292,WILLIAMSBRIDGE,236
30293,WILLIAMSBRIDGE,236
30294,WILLIAMSBRIDGE,236
30296,WILLIAMSBRIDGE,236
30297,WILLIAMSBRIDGE,236
30298,WILLIAMSBRIDGE,236
30299,WILLIAMSBRIDGE,236
30300,WILLIAMSBRIDGE,236
30301,WILLIAMSBRIDGE,236
30302,WILLIAMSBRIDGE,236
30303,WILLIAMSBRIDGE,236
30304,WILLIAMSBRIDGE,236
30305,WILLIAMSBRIDGE,236
30306,WILLIAMSBRIDGE,236
30307,WILLIAMSBRIDGE,236
30308,WILLIAMSBRIDGE,236
30309,WILLIAMSBRIDGE,236
30310,WILLIAMSBRIDGE,236
30311,WILLIAMSBRIDGE,236
30312,WILLIAMSBRIDGE,236
30313,WILLIAMSBRIDGE,236
30316,WILLIAMSBRIDGE,236
30318,WILLIAMSBRIDGE,236
30320,WILLIAMSBRIDGE,236
30321,WILLIAMSBRIDGE,236
30322,WILLIAMSBRIDGE,236
30323,WILLIAMSBRIDGE,236
30325,WILLIAMSBRIDGE,236
30326,WILLIAMSBRIDGE,236
30327,WILLIAMSBRIDGE,236
30328,WILLIAMSBRIDGE,236
30329,WILLIAMSBRIDGE,236
30330,WILLIAMSBRIDGE,236
30331,WILLIAMSBRIDGE,236
30332,WILLIAMSBRIDGE,236
30334,WILLIAMSBRIDGE,236
30335,WILLIAMSBRIDGE,236
30337,WILLIAMSBRIDGE,236
30338,WILLIAMSBRIDGE,236
30340,WILLIAMSBRIDGE,236
30341,WILLIAMSBRIDGE,236
30342,WILLIAMSBRIDGE,236
30343,WILLIAMSBRIDGE,236
30344,WILLIAMSBRIDGE,236
30345,WILLIAMSBRIDGE,236
30346,WILLIAMSBRIDGE,236
30348,WILLIAMSBRIDGE,236
30349,WILLIAMSBRIDGE,236
30350,WILLIAMSBRIDGE,236
30352,WILLIAMSBRIDGE,236
30354,WILLIAMSBRIDGE,236
30355,WILLIAMSBRIDGE,236
30357,WILLIAMSBRIDGE,236
30358,WILLIAMSBRIDGE,236
30359,WILLIAMSBRIDGE,236
30360,WILLIAMSBRIDGE,236
30362,WILLIAMSBRIDGE,236
30363,WILLIAMSBRIDGE,236
30364,WILLIAMSBRIDGE,236
30366,WILLIAMSBRIDGE,236
30367,WILLIAMSBRIDGE,236
30369,WILLIAMSBRIDGE,236
30370,WILLIAMSBRIDGE,236
30371,WILLIAMSBRIDGE,236
30372,WILLIAMSBRIDGE,236
30373,WILLIAMSBRIDGE,236
30374,WILLIAMSBRIDGE,236
30376,WILLIAMSBRIDGE,236
30381,WILLIAMSBRIDGE,236
30382,WILLIAMSBRIDGE,236
30383,WILLIAMSBRIDGE,236
30384,WILLIAMSBRIDGE,236
30386,WILLIAMSBRIDGE,236
30387,WILLIAMSBRIDGE,236
30388,WILLIAMSBRIDGE,236
30391,WILLIAMSBRIDGE,236
30394,WILLIAMSBRIDGE,236
30395,WILLIAMSBRIDGE,236
30396,WILLIAMSBRIDGE,236
30398,WILLIAMSBRIDGE,236
30400,WILLIAMSBRIDGE,236
30402,WILLIAMSBRIDGE,236
30403,WILLIAMSBRIDGE,236
30404,WILLIAMSBRIDGE,236
30406,WILLIAMSBRIDGE,236
30407,WILLIAMSBRIDGE,236
30411,WILLIAMSBRIDGE,236
30412,WILLIAMSBRIDGE,236
30413,WILLIAMSBRIDGE,236
30415,WILLIAMSBRIDGE,236
30416,WILLIAMSBRIDGE,236
30417,WILLIAMSBRIDGE,236
30418,WILLIAMSBRIDGE,236
30420,WILLIAMSBRIDGE,236
30423,WILLIAMSBRIDGE,236
30424,WILLIAMSBRIDGE,236
30426,WILLIAMSBRIDGE,236
30427,WILLIAMSBRIDGE,236
30429,WILLIAMSBRIDGE,236
30430,WILLIAMSBRIDGE,236
30431,WILLIAMSBRIDGE,236
30433,WILLIAMSBRIDGE,236
30434,WILLIAMSBRIDGE,236
30435,WILLIAMSBRIDGE,236
30438,WILLIAMSBRIDGE,236
30444,WILLIAMSBRIDGE,236
30445,WILLIAMSBRIDGE,236
30449,WILLIAMSBRIDGE,236
30450,WILLIAMSBRIDGE,236
30452,WILLIAMSBRIDGE,236
30453,WILLIAMSBRIDGE,236
30454,WILLIAMSBRIDGE,236
30455,WILLIAMSBRIDGE,236
30459,WILLIAMSBRIDGE,236
30460,WILLIAMSBRIDGE,236
30461,WILLIAMSBRIDGE,236
30462,WILLIAMSBRIDGE,236
30464,WILLIAMSBRIDGE,236
30465,WILLIAMSBRIDGE,236
30466,WILLIAMSBRIDGE,236
30467,WILLIAMSBRIDGE,236
30468,WILLIAMSBRIDGE,236
30469,WILLIAMSBRIDGE,236
30470,WILLIAMSBRIDGE,236
30471,WILLIAMSBRIDGE,236
30473,WILLIAMSBRIDGE,236
30475,WILLIAMSBRIDGE,236
30479,WILLIAMSBRIDGE,236
30480,WILLIAMSBRIDGE,236
30481,WILLIAMSBRIDGE,236
30482,WILLIAMSBRIDGE,236
30483,WILLIAMSBRIDGE,236
30487,WILLIAMSBRIDGE,236
30489,WILLIAMSBRIDGE,236
30490,WILLIAMSBRIDGE,236
30493,WILLIAMSBRIDGE,236
30495,WILLIAMSBRIDGE,236
30498,WILLIAMSBRIDGE,236
30499,WILLIAMSBRIDGE,236
30500,WILLIAMSBRIDGE,236
30501,WILLIAMSBRIDGE,236
30502,WILLIAMSBRIDGE,236
30503,WILLIAMSBRIDGE,236
30507,WILLIAMSBRIDGE,236
30508,WILLIAMSBRIDGE,236
30509,WILLIAMSBRIDGE,236
30512,WILLIAMSBRIDGE,236
30517,WILLIAMSBRIDGE,236
30523,WILLIAMSBRIDGE,236
30525,WILLIAMSBRIDGE,236
30526,WILLIAMSBRIDGE,236
30528,WILLIAMSBRIDGE,236
30531,WILLIAMSBRIDGE,236
30532,WILLIAMSBRIDGE,236
30534,WILLIAMSBRIDGE,236
30536,WILLIAMSBRIDGE,236
30537,WILLIAMSBRIDGE,236
30538,WILLIAMSBRIDGE,236
30539,WILLIAMSBRIDGE,236
30541,WILLIAMSBRIDGE,236
30543,WILLIAMSBRIDGE,236
30544,WILLIAMSBRIDGE,236
30546,WILLIAMSBRIDGE,236
30547,WILLIAMSBRIDGE,236
30550,WILLIAMSBRIDGE,236
30551,WILLIAMSBRIDGE,236
30555,WILLIAMSBRIDGE,236
30556,WILLIAMSBRIDGE,236
30560,WILLIAMSBRIDGE,236
30562,WILLIAMSBRIDGE,236
30563,WILLIAMSBRIDGE,236
30565,WILLIAMSBRIDGE,236
30570,WILLIAMSBRIDGE,236
30571,WILLIAMSBRIDGE,236
30572,WILLIAMSBRIDGE,236
30573,WILLIAMSBRIDGE,236
30574,WILLIAMSBRIDGE,236
30575,WILLIAMSBRIDGE,236
30576,WILLIAMSBRIDGE,236
30580,WILLIAMSBRIDGE,236
30581,WILLIAMSBRIDGE,236
30586,WILLIAMSBRIDGE,236
30587,WILLIAMSBRIDGE,236
30590,WILLIAMSBRIDGE,236
30591,WILLIAMSBRIDGE,236
30592,WILLIAMSBRIDGE,236
30594,WILLIAMSBRIDGE,236
30598,WILLIAMSBRIDGE,236
30599,WILLIAMSBRIDGE,236
30604,WILLIAMSBRIDGE,236
30622,WILLIAMSBRIDGE,236
30625,WILLIAMSBRIDGE,236
30627,WILLIAMSBRIDGE,236
30629,WILLIAMSBRIDGE,236
30632,WILLIAMSBRIDGE,236
30638,WILLIAMSBRIDGE,236
30639,WILLIAMSBRIDGE,236
30640,WILLIAMSBRIDGE,236
30641,WILLIAMSBRIDGE,236
30647,WILLIAMSBRIDGE,236
30650,WILLIAMSBRIDGE,236
30655,WILLIAMSBRIDGE,236
30661,WILLIAMSBRIDGE,236
30666,WILLIAMSBRIDGE,236
30667,WILLIAMSBRIDGE,236
30706,WILLIAMSBRIDGE,236
30710,WILLIAMSBRIDGE,236
30711,WILLIAMSBRIDGE,236
30712,WILLIAMSBRIDGE,236
30715,WILLIAMSBRIDGE,236
30716,WILLIAMSBRIDGE,236
30725,WOODLAWN,244
30726,WOODLAWN,244
30727,WOODLAWN,244
30728,WOODLAWN,244
30729,WOODLAWN,244
30730,WOODLAWN,244
30731,WOODLAWN,244
30733,WOODLAWN,244
30734,WOODLAWN,244
30735,WOODLAWN,244
30736,WOODLAWN,244
30739,WOODLAWN,244
30740,WOODLAWN,244
30742,WOODLAWN,244
30743,WOODLAWN,244
30745,WOODLAWN,244
30747,WOODLAWN,244
30748,WOODLAWN,244
30749,WOODLAWN,244
30750,WOODLAWN,244
30751,WOODLAWN,244
30752,WOODLAWN,244
30754,WOODLAWN,244
30756,WOODLAWN,244
30758,WOODLAWN,244
30760,WOODLAWN,244
30761,WOODLAWN,244
30762,WOODLAWN,244
30764,WOODLAWN,244
30766,WOODLAWN,244
30767,WOODLAWN,244
30769,WOODLAWN,244
30770,WOODLAWN,244
30771,WOODLAWN,244
30772,WOODLAWN,244
30773,WOODLAWN,244
30774,WOODLAWN,244
30776,WOODLAWN,244
30777,WOODLAWN,244
30778,WOODLAWN,244
30780,WOODLAWN,244
30781,WOODLAWN,244
30783,WOODLAWN,244
30784,WOODLAWN,244
30816,WOODLAWN,244
30817,WOODLAWN,244
30818,WOODLAWN,244
30819,WOODLAWN,244
30820,WOODLAWN,244
30822,BATH BEACH,8
30825,BATH BEACH,8
30826,BATH BEACH,8
30832,BATH BEACH,8
30835,BATH BEACH,8
30836,BATH BEACH,8
30837,BATH BEACH,8
30838,BATH BEACH,8
30840,BATH BEACH,8
30841,BATH BEACH,8
30842,BATH BEACH,8
30846,BATH BEACH,8
30848,BATH BEACH,8
30849,BATH BEACH,8
30851,BATH BEACH,8
30852,BATH BEACH,8
30853,BATH BEACH,8
30854,BATH BEACH,8
30855,BATH BEACH,8
30856,BATH BEACH,8
30857,BATH BEACH,8
30858,BATH BEACH,8
30859,BATH BEACH,8
30860,BATH BEACH,8
30864,BATH BEACH,8
30865,BATH BEACH,8
30867,BATH BEACH,8
30870,BATH BEACH,8
30871,BATH BEACH,8
30872,BATH BEACH,8
30873,BATH BEACH,8
30874,BATH BEACH,8
30877,BATH BEACH,8
30878,BATH BEACH,8
30880,BATH BEACH,8
30882,BATH BEACH,8
30883,BATH BEACH,8
30888,BATH BEACH,8
30889,BATH BEACH,8
30890,BATH BEACH,8
30892,BATH BEACH,8
30895,BATH BEACH,8
30899,BATH BEACH,8
30900,BATH BEACH,8
30903,BATH BEACH,8
30904,BATH BEACH,8
30905,BATH BEACH,8
30906,BATH BEACH,8
30907,BATH BEACH,8
30910,BATH BEACH,8
30911,BATH BEACH,8
30912,BATH BEACH,8
30913,BATH BEACH,8
30914,BATH BEACH,8
30915,BATH BEACH,8
30919,BATH BEACH,8
30922,BATH BEACH,8
30927,BATH BEACH,8
30929,BATH BEACH,8
30930,BATH BEACH,8
30932,BATH BEACH,8
30934,BATH BEACH,8
30935,BATH BEACH,8
30937,BATH BEACH,8
30939,BATH BEACH,8
30941,BATH BEACH,8
30942,BATH BEACH,8
30943,BATH BEACH,8
30944,BATH BEACH,8
30946,BATH BEACH,8
30947,BATH BEACH,8
30948,BATH BEACH,8
30949,BATH BEACH,8
30951,BATH BEACH,8
30952,BATH BEACH,8
30953,BATH BEACH,8
30956,BATH BEACH,8
30957,BATH BEACH,8
30962,BATH BEACH,8
30963,BATH BEACH,8
30966,BATH BEACH,8
30968,BATH BEACH,8
30970,BATH BEACH,8
30972,BATH BEACH,8
30974,BATH BEACH,8
30975,BATH BEACH,8
30976,BATH BEACH,8
30977,BATH BEACH,8
30978,BATH BEACH,8
30979,BATH BEACH,8
30980,BATH BEACH,8
30981,BATH BEACH,8
30982,BATH BEACH,8
30983,BATH BEACH,8
30984,BATH BEACH,8
30985,BATH BEACH,8
30986,BATH BEACH,8
30987,BATH BEACH,8
30988,BATH BEACH,8
30989,BATH BEACH,8
30992,BATH BEACH,8
30994,BATH BEACH,8
31000,BATH BEACH,8
31001,BATH BEACH,8
31002,BATH BEACH,8
31005,BATH BEACH,8
31006,BATH BEACH,8
31007,BATH BEACH,8
31010,BATH BEACH,8
31011,BATH BEACH,8
31014,BATH BEACH,8
31016,BATH BEACH,8
31019,BATH BEACH,8
31020,BATH BEACH,8
31022,BATH BEACH,8
31023,BATH BEACH,8
31024,BATH BEACH,8
31028,BATH BEACH,8
31030,BATH BEACH,8
31031,BATH BEACH,8
31032,BATH BEACH,8
31034,BATH BEACH,8
31037,BATH BEACH,8
31038,BATH BEACH,8
31039,BATH BEACH,8
31044,BATH BEACH,8
31047,BATH BEACH,8
31048,BATH BEACH,8
31049,BATH BEACH,8
31051,BATH BEACH,8
31052,BATH BEACH,8
31053,BATH BEACH,8
31056,BATH BEACH,8
31058,BATH BEACH,8
31092,BATH BEACH,8
31093,BATH BEACH,8
31096,BATH BEACH,8
31097,BATH BEACH,8
31098,BATH BEACH,8
31099,BATH BEACH,8
31100,BATH BEACH,8
31103,BATH BEACH,8
31104,BATH BEACH,8
31156,BATH BEACH,8
31168,BATH BEACH,8
31169,BATH BEACH,8
31170,BATH BEACH,8
31188,BAY RIDGE,10
31190,BAY RIDGE,10
31191,BAY RIDGE,10
31193,BAY RIDGE,10
31194,BAY RIDGE,10
31198,BAY RIDGE,10
31199,BAY RIDGE,10
31200,BAY RIDGE,10
31201,BAY RIDGE,10
31203,BAY RIDGE,10
31204,BAY RIDGE,10
31206,BAY RIDGE,10
31207,BAY RIDGE,10
31208,BAY RIDGE,10
31209,BAY RIDGE,10
31211,BAY RIDGE,10
31215,BAY RIDGE,10
31216,BAY RIDGE,10
31217,BAY RIDGE,10
31218,BAY RIDGE,10
31220,BAY RIDGE,10
31223,BAY RIDGE,10
31224,BAY RIDGE,10
31226,BAY RIDGE,10
31227,BAY RIDGE,10
31228,BAY RIDGE,10
31229,BAY RIDGE,10
31231,BAY RIDGE,10
31232,BAY RIDGE,10
31233,BAY RIDGE,10
31234,BAY RIDGE,10
31235,BAY RIDGE,10
31236,BAY RIDGE,10
31237,BAY RIDGE,10
31238,BAY RIDGE,10
31242,BAY RIDGE,10
31243,BAY RIDGE,10
31244,BAY RIDGE,10
31246,BAY RIDGE,10
31247,BAY RIDGE,10
31248,BAY RIDGE,10
31249,BAY RIDGE,10
31250,BAY RIDGE,10
31251,BAY RIDGE,10
31252,BAY RIDGE,10
31253,BAY RIDGE,10
31254,BAY RIDGE,10
31257,BAY RIDGE,10
31258,BAY RIDGE,10
31259,BAY RIDGE,10
31261,BAY RIDGE,10
31264,BAY RIDGE,10
31266,BAY RIDGE,10
31269,BAY RIDGE,10
31270,BAY RIDGE,10
31271,BAY RIDGE,10
31272,BAY RIDGE,10
31273,BAY RIDGE,10
31274,BAY RIDGE,10
31275,BAY RIDGE,10
31276,BAY RIDGE,10
31279,BAY RIDGE,10
31281,BAY RIDGE,10
31284,BAY RIDGE,10
31286,BAY RIDGE,10
31287,BAY RIDGE,10
31289,BAY RIDGE,10
31290,BAY RIDGE,10
31291,BAY RIDGE,10
31292,BAY RIDGE,10
31293,BAY RIDGE,10
31295,BAY RIDGE,10
31296,BAY RIDGE,10
31297,BAY RIDGE,10
31298,BAY RIDGE,10
31299,BAY RIDGE,10
31300,BAY RIDGE,10
31301,BAY RIDGE,10
31302,BAY RIDGE,10
31304,BAY RIDGE,10
31305,BAY RIDGE,10
31306,BAY RIDGE,10
31307,BAY RIDGE,10
31314,BAY RIDGE,10
31315,BAY RIDGE,10
31316,BAY RIDGE,10
31317,BAY RIDGE,10
31318,BAY RIDGE,10
31319,BAY RIDGE,10
31321,BAY RIDGE,10
31322,BAY RIDGE,10
31323,BAY RIDGE,10
31324,BAY RIDGE,10
31325,BAY RIDGE,10
31326,BAY RIDGE,10
31327,BAY RIDGE,10
31328,BAY RIDGE,10
31329,BAY RIDGE,10
31330,BAY RIDGE,10
31333,BAY RIDGE,10
31334,BAY RIDGE,10
31335,BAY RIDGE,10
31336,BAY RIDGE,10
31341,BAY RIDGE,10
31342,BAY RIDGE,10
31343,BAY RIDGE,10
31344,BAY RIDGE,10
31348,BAY RIDGE,10
31349,BAY RIDGE,10
31351,BAY RIDGE,10
31352,BAY RIDGE,10
31353,BAY RIDGE,10
31354,BAY RIDGE,10
31355,BAY RIDGE,10
31356,BAY RIDGE,10
31358,BAY RIDGE,10
31359,BAY RIDGE,10
31360,BAY RIDGE,10
31361,BAY RIDGE,10
31362,BAY RIDGE,10
31363,BAY RIDGE,10
31364,BAY RIDGE,10
31365,BAY RIDGE,10
31367,BAY RIDGE,10
31369,BAY RIDGE,10
31370,BAY RIDGE,10
31371,BAY RIDGE,10
31372,BAY RIDGE,10
31373,BAY RIDGE,10
31374,BAY RIDGE,10
31375,BAY RIDGE,10
31380,BAY RIDGE,10
31381,BAY RIDGE,10
31382,BAY RIDGE,10
31383,BAY RIDGE,10
31384,BAY RIDGE,10
31385,BAY RIDGE,10
31386,BAY RIDGE,10
31388,BAY RIDGE,10
31389,BAY RIDGE,10
31390,BAY RIDGE,10
31391,BAY RIDGE,10
31392,BAY RIDGE,10
31394,BAY RIDGE,10
31395,BAY RIDGE,10
31397,BAY RIDGE,10
31399,BAY RIDGE,10
31401,BAY RIDGE,10
31403,BAY RIDGE,10
31406,BAY RIDGE,10
31407,BAY RIDGE,10
31408,BAY RIDGE,10
31412,BAY RIDGE,10
31415,BAY RIDGE,10
31416,BAY RIDGE,10
31423,BAY RIDGE,10
31424,BAY RIDGE,10
31426,BAY RIDGE,10
31427,BAY RIDGE,10
31431,BAY RIDGE,10
31433,BAY RIDGE,10
31434,BAY RIDGE,10
31435,BAY RIDGE,10
31436,BAY RIDGE,10
31437,BAY RIDGE,10
31438,BAY RIDGE,10
31440,BAY RIDGE,10
31441,BAY RIDGE,10
31442,BAY RIDGE,10
31443,BAY RIDGE,10
31444,BAY RIDGE,10
31445,BAY RIDGE,10
31449,BAY RIDGE,10
31451,BAY RIDGE,10
31453,BAY RIDGE,10
31455,BAY RIDGE,10
31457,BAY RIDGE,10
31458,BAY RIDGE,10
31459,BAY RIDGE,10
31460,BAY RIDGE,10
31462,BAY RIDGE,10
31464,BAY RIDGE,10
31466,BAY RIDGE,10
31469,BAY RIDGE,10
31471,BAY RIDGE,10
31472,BAY RIDGE,10
31473,BAY RIDGE,10
31474,BAY RIDGE,10
31475,BAY RIDGE,10
31478,BAY RIDGE,10
31484,BAY RIDGE,10
31486,BAY RIDGE,10
31490,BAY RIDGE,10
31491,BAY RIDGE,10
31494,BAY RIDGE,10
31495,BAY RIDGE,10
31496,BAY RIDGE,10
31497,BAY RIDGE,10
31498,BAY RIDGE,10
31501,BAY RIDGE,10
31502,BAY RIDGE,10
31503,BAY RIDGE,10
31504,BAY RIDGE,10
31505,BAY RIDGE,10
31507,BAY RIDGE,10
31508,BAY RIDGE,10
31509,BAY RIDGE,10
31510,BAY RIDGE,10
31511,BAY RIDGE,10
31514,BAY RIDGE,10
31515,BAY RIDGE,10
31517,BAY RIDGE,10
31522,BAY RIDGE,10
31527,BAY RIDGE,10
31528,BAY RIDGE,10
31529,BAY RIDGE,10
31530,BAY RIDGE,10
31531,BAY RIDGE,10
31536,BAY RIDGE,10
31537,BAY RIDGE,10
31538,BAY RIDGE,10
31541,BAY RIDGE,10
31543,BAY RIDGE,10
31544,BAY RIDGE,10
31546,BAY RIDGE,10
31548,BAY RIDGE,10
31549,BAY RIDGE,10
31551,BAY RIDGE,10
31552,BAY RIDGE,10
31554,BAY RIDGE,10
31555,BAY RIDGE,10
31559,BAY RIDGE,10
31560,BAY RIDGE,10
31561,BAY RIDGE,10
31562,BAY RIDGE,10
31568,BAY RIDGE,10
31569,BAY RIDGE,10
31571,BAY RIDGE,10
31572,BAY RIDGE,10
31574,BAY RIDGE,10
31580,BAY RIDGE,10
31581,BAY RIDGE,10
31583,BAY RIDGE,10
31584,BAY RIDGE,10
31585,BAY RIDGE,10
31586,BAY RIDGE,10
31587,BAY RIDGE,10
31589,BAY RIDGE,10
31590,BAY RIDGE,10
31592,BAY RIDGE,10
31593,BAY RIDGE,10
31594,BAY RIDGE,10
31595,BAY RIDGE,10
31598,BAY RIDGE,10
31600,BAY RIDGE,10
31605,BAY RIDGE,10
31606,BAY RIDGE,10
31607,BAY RIDGE,10
31608,BAY RIDGE,10
31609,BAY RIDGE,10
31610,BAY RIDGE,10
31612,BAY RIDGE,10
31613,BAY RIDGE,10
31614,BAY RIDGE,10
31616,BAY RIDGE,10
31617,BAY RIDGE,10
31618,BAY RIDGE,10
31620,BAY RIDGE,10
31621,BAY RIDGE,10
31622,BAY RIDGE,10
31623,BAY RIDGE,10
31624,BAY RIDGE,10
31626,BAY RIDGE,10
31627,BAY RIDGE,10
31628,BAY RIDGE,10
31630,BAY RIDGE,10
31633,BAY RIDGE,10
31635,BAY RIDGE,10
