,NEIGHBORHOOD,ENCODED_VALUE
4891,GREENWICH VILLAGE-CENTRAL,102
4892,GREENWICH VILLAGE-CENTRAL,102
4893,GREENWICH VILLAGE-CENTRAL,102
4894,GREENWICH VILLAGE-CENTRAL,102
4895,GREENWICH VILLAGE-CENTRAL,102
4896,GREENWICH VILLAGE-CENTRAL,102
4897,GREENWICH VILLAGE-CENTRAL,102
4898,GREENWICH VILLAGE-CENTRAL,102
5060,GREENWICH VILLAGE-CENTRAL,102
5063,GREENWICH VILLAGE-CENTRAL,102
5064,GREENWICH VILLAGE-CENTRAL,102
5065,GREENWICH VILLAGE-CENTRAL,102
5067,GREENWICH VILLAGE-CENTRAL,102
5086,GREENWICH VILLAGE-WEST,103
5087,GREENWICH VILLAGE-WEST,103
5088,GREENWICH VILLAGE-WEST,103
5089,GREENWICH VILLAGE-WEST,103
5090,GREENWICH VILLAGE-WEST,103
5091,GREENWICH VILLAGE-WEST,103
5093,GREENWICH VILLAGE-WEST,103
5094,GREENWICH VILLAGE-WEST,103
5095,GREENWICH VILLAGE-WEST,103
5096,GREENWICH VILLAGE-WEST,103
5098,GREENWICH VILLAGE-WEST,103
5099,GREENWICH VILLAGE-WEST,103
5100,GREENWICH VILLAGE-WEST,103
5101,GREENWICH VILLAGE-WEST,103
5103,GREENWICH VILLAGE-WEST,103
5104,GREENWICH VILLAGE-WEST,103
5105,GREENWICH VILLAGE-WEST,103
5107,GREENWICH VILLAGE-WEST,103
5108,GREENWICH VILLAGE-WEST,103
5109,GREENWICH VILLAGE-WEST,103
5110,GREENWICH VILLAGE-WEST,103
5111,GREENWICH VILLAGE-WEST,103
5112,GREENWICH VILLAGE-WEST,103
5114,GREENWICH VILLAGE-WEST,103
5115,GREENWICH VILLAGE-WEST,103
5117,GREENWICH VILLAGE-WEST,103
5118,GREENWICH VILLAGE-WEST,103
5119,GREENWICH VILLAGE-WEST,103
5120,GREENWICH VILLAGE-WEST,103
5122,GREENWICH VILLAGE-WEST,103
5124,GREENWICH VILLAGE-WEST,103
5126,GREENWICH VILLAGE-WEST,103
5128,GREENWICH VILLAGE-WEST,103
5129,GREENWICH VILLAGE-WEST,103
5132,GREENWICH VILLAGE-WEST,103
5133,GREENWICH VILLAGE-WEST,103
5134,GREENWICH VILLAGE-WEST,103
5135,GREENWICH VILLAGE-WEST,103
5138,GREENWICH VILLAGE-WEST,103
5139,GREENWICH VILLAGE-WEST,103
5140,GREENWICH VILLAGE-WEST,103
5141,GREENWICH VILLAGE-WEST,103
5142,GREENWICH VILLAGE-WEST,103
5143,GREENWICH VILLAGE-WEST,103
5144,GREENWICH VILLAGE-WEST,103
5146,GREENWICH VILLAGE-WEST,103
5150,GREENWICH VILLAGE-WEST,103
5152,GREENWICH VILLAGE-WEST,103
5153,GREENWICH VILLAGE-WEST,103
5155,GREENWICH VILLAGE-WEST,103
5156,GREENWICH VILLAGE-WEST,103
5157,GREENWICH VILLAGE-WEST,103
5158,GREENWICH VILLAGE-WEST,103
5159,GREENWICH VILLAGE-WEST,103
5160,GREENWICH VILLAGE-WEST,103
5161,GREENWICH VILLAGE-WEST,103
5162,GREENWICH VILLAGE-WEST,103
5164,GREENWICH VILLAGE-WEST,103
5167,GREENWICH VILLAGE-WEST,103
5169,GREENWICH VILLAGE-WEST,103
5170,GREENWICH VILLAGE-WEST,103
5172,GREENWICH VILLAGE-WEST,103
5173,GREENWICH VILLAGE-WEST,103
5174,GREENWICH VILLAGE-WEST,103
5175,GREENWICH VILLAGE-WEST,103
5176,GREENWICH VILLAGE-WEST,103
5178,GREENWICH VILLAGE-WEST,103
5179,GREENWICH VILLAGE-WEST,103
5181,GREENWICH VILLAGE-WEST,103
5183,GREENWICH VILLAGE-WEST,103
5184,GREENWICH VILLAGE-WEST,103
5185,GREENWICH VILLAGE-WEST,103
5186,GREENWICH VILLAGE-WEST,103
5187,GREENWICH VILLAGE-WEST,103
5189,GREENWICH VILLAGE-WEST,103
5190,GREENWICH VILLAGE-WEST,103
5191,GREENWICH VILLAGE-WEST,103
5192,GREENWICH VILLAGE-WEST,103
5193,GREENWICH VILLAGE-WEST,103
5195,GREENWICH VILLAGE-WEST,103
5196,GREENWICH VILLAGE-WEST,103
5197,GREENWICH VILLAGE-WEST,103
5198,GREENWICH VILLAGE-WEST,103
5199,GREENWICH VILLAGE-WEST,103
5772,GREENWICH VILLAGE-WEST,103
5774,GREENWICH VILLAGE-WEST,103
5775,GREENWICH VILLAGE-WEST,103
5776,GREENWICH VILLAGE-WEST,103
5778,GREENWICH VILLAGE-WEST,103
5780,GREENWICH VILLAGE-WEST,103
5871,GREENWICH VILLAGE-WEST,103
5872,GREENWICH VILLAGE-WEST,103
5873,GREENWICH VILLAGE-WEST,103
5874,GREENWICH VILLAGE-WEST,103
5875,GREENWICH VILLAGE-WEST,103
5876,GREENWICH VILLAGE-WEST,103
5877,GREENWICH VILLAGE-WEST,103
5879,GREENWICH VILLAGE-WEST,103
5880,GREENWICH VILLAGE-WEST,103
5881,GREENWICH VILLAGE-WEST,103
5893,HARLEM-CENTRAL,106
5894,HARLEM-CENTRAL,106
5895,HARLEM-CENTRAL,106
5897,HARLEM-CENTRAL,106
5899,HARLEM-CENTRAL,106
5901,HARLEM-CENTRAL,106
5902,HARLEM-CENTRAL,106
5903,HARLEM-CENTRAL,106
5905,HARLEM-CENTRAL,106
5906,HARLEM-CENTRAL,106
5907,HARLEM-CENTRAL,106
5910,HARLEM-CENTRAL,106
5912,HARLEM-CENTRAL,106
5915,HARLEM-CENTRAL,106
5916,HARLEM-CENTRAL,106
5918,HARLEM-CENTRAL,106
5920,HARLEM-CENTRAL,106
5921,HARLEM-CENTRAL,106
5922,HARLEM-CENTRAL,106
5923,HARLEM-CENTRAL,106
5924,HARLEM-CENTRAL,106
5925,HARLEM-CENTRAL,106
5935,HARLEM-CENTRAL,106
5936,HARLEM-CENTRAL,106
5937,HARLEM-CENTRAL,106
5939,HARLEM-CENTRAL,106
5940,HARLEM-CENTRAL,106
5942,HARLEM-CENTRAL,106
5943,HARLEM-CENTRAL,106
5944,HARLEM-CENTRAL,106
5945,HARLEM-CENTRAL,106
5946,HARLEM-CENTRAL,106
5947,HARLEM-CENTRAL,106
5949,HARLEM-CENTRAL,106
5950,HARLEM-CENTRAL,106
5951,HARLEM-CENTRAL,106
5952,HARLEM-CENTRAL,106
5953,HARLEM-CENTRAL,106
5956,HARLEM-CENTRAL,106
5957,HARLEM-CENTRAL,106
5958,HARLEM-CENTRAL,106
5960,HARLEM-CENTRAL,106
5963,HARLEM-CENTRAL,106
5965,HARLEM-CENTRAL,106
5966,HARLEM-CENTRAL,106
5971,HARLEM-CENTRAL,106
5979,HARLEM-CENTRAL,106
5981,HARLEM-CENTRAL,106
5982,HARLEM-CENTRAL,106
5983,HARLEM-CENTRAL,106
5987,HARLEM-CENTRAL,106
5988,HARLEM-CENTRAL,106
5989,HARLEM-CENTRAL,106
5990,HARLEM-CENTRAL,106
5992,HARLEM-CENTRAL,106
5993,HARLEM-CENTRAL,106
5994,HARLEM-CENTRAL,106
5995,HARLEM-CENTRAL,106
5996,HARLEM-CENTRAL,106
5997,HARLEM-CENTRAL,106
5998,HARLEM-CENTRAL,106
6002,HARLEM-CENTRAL,106
6003,HARLEM-CENTRAL,106
6004,HARLEM-CENTRAL,106
6005,HARLEM-CENTRAL,106
6006,HARLEM-CENTRAL,106
6007,HARLEM-CENTRAL,106
6008,HARLEM-CENTRAL,106
6009,HARLEM-CENTRAL,106
6011,HARLEM-CENTRAL,106
6014,HARLEM-CENTRAL,106
6015,HARLEM-CENTRAL,106
6019,HARLEM-CENTRAL,106
6021,HARLEM-CENTRAL,106
6022,HARLEM-CENTRAL,106
6023,HARLEM-CENTRAL,106
6024,HARLEM-CENTRAL,106
6025,HARLEM-CENTRAL,106
6030,HARLEM-CENTRAL,106
6031,HARLEM-CENTRAL,106
